run_id,date,site,hardware,system,model,task,dataset,method,sparsity,lora,batch,seq_len,lr,steps,seed,status,artifact_path,notes,stage,model_id,peft_mode,micro_batch_final,train_tokens_per_s,train_time_s,loss_last,run_dir
cs3_llama_boolq_lora_f2ae45c_20260202_065956,2026-02-02T02:58:02+00:00,cerebras,CS-3,llama,boolq,dense+lora,0,f2ae45c,2,/home/ebereuwadoka/project3-sparse-ft/configs/cerebras/generated/llama3/boolq.yaml,/home/ebereuwadoka/project3-sparse-ft/results/runs/cs3_llama_boolq_lora_f2ae45c_20260202_065956/model_dir,baseline dense+lora,,,,,,,,,,,,,,
cs3_llama_boolq_lora_f2ae45c_20260202_070257,2026-02-02T02:58:02+00:00,cerebras,CS-3,llama,boolq,dense+lora,0,f2ae45c,2,/home/ebereuwadoka/project3-sparse-ft/configs/cerebras/generated/llama3/boolq.yaml,/home/ebereuwadoka/project3-sparse-ft/results/runs/cs3_llama_boolq_lora_f2ae45c_20260202_070257/model_dir,baseline dense+lora,,,,,,,,,,,,,,
week4-gpu-dense-llama3.1-8b-boolq-20260204-120154-2966352,,,,gpu,llama3.1-8b,boolq,,,,,,2048,,,,,,,week4_dense,meta-llama/Llama-3.1-8B,lora,2,4160.337873413288,787.628336857073,0.017810681834816933,results/runs/week4-gpu-dense-llama3.1-8b-boolq-20260204-120154-2966352
week4-gpu-dense-llama3.1-8b-boolq-20260204-120154-2966354,,,,gpu,llama3.1-8b,boolq,,,,,,2048,,,,,,,week4_dense,meta-llama/Llama-3.1-8B,lora,2,4160.904825509297,787.5210170419887,0.02819126471877098,results/runs/week4-gpu-dense-llama3.1-8b-boolq-20260204-120154-2966354
week4-gpu-dense-llama3.1-8b-boolq-20260204-120154-2966353,,,,gpu,llama3.1-8b,boolq,,,,,,2048,,,,,,,week4_dense,meta-llama/Llama-3.1-8B,lora,2,4160.4992046049965,787.5977950850502,0.07595288008451462,results/runs/week4-gpu-dense-llama3.1-8b-boolq-20260204-120154-2966353
week4-gpu-dense-llama3.1-8b-boolq-20260204-123623-3124782,,,,gpu,llama3.1-8b,boolq,,,,,,2048,,,,,,,week4_dense,meta-llama/Llama-3.1-8B,lora,2,4163.534092084269,787.0236985040829,0.05441174656152725,results/runs/week4-gpu-dense-llama3.1-8b-boolq-20260204-123623-3124782
week4-gpu-dense-llama3.1-8b-boolq-20260204-123623-3124784,,,,gpu,llama3.1-8b,boolq,,,,,,2048,,,,,,,week4_dense,meta-llama/Llama-3.1-8B,lora,2,4163.264618817833,787.0746397404,0.07482059299945831,results/runs/week4-gpu-dense-llama3.1-8b-boolq-20260204-123623-3124784
week4-gpu-dense-llama3.1-8b-boolq-20260204-123623-3124783,,,,gpu,llama3.1-8b,boolq,,,,,,2048,,,,,,,week4_dense,meta-llama/Llama-3.1-8B,lora,2,4163.573808489545,787.0161910708994,0.29558637738227844,results/runs/week4-gpu-dense-llama3.1-8b-boolq-20260204-123623-3124783
gpu-dense-llama3.1-8b-boolq-20260205-174148-750553,,,,gpu,llama3.1-8b,boolq,,,,,,2048,,,,,,,week4_dense,meta-llama/Llama-3.1-8B,lora,4,2737.2966181370894,598.5467519829981,0.49218782782554626,results/runs/gpu-dense-llama3.1-8b-boolq-20260205-174148-750553
gpu-dense-llama3.1-8b-gsm8k-20260205-180151-845210,,,,gpu,llama3.1-8b,gsm8k,,,,,,2048,,,,,,,week4_dense,meta-llama/Llama-3.1-8B,lora,4,2734.931970338919,599.0642611110234,0.4832572937011719,results/runs/gpu-dense-llama3.1-8b-gsm8k-20260205-180151-845210
gpu-dense-llama3.1-8b-hellaswag-20260206-091806-1077903,,,,gpu,llama3.1-8b,hellaswag,,,,,,2048,,,,,,,week4_dense,meta-llama/Llama-3.1-8B,lora,4,2733.853631841948,599.3005554200499,0.33108580112457275,results/runs/gpu-dense-llama3.1-8b-hellaswag-20260206-091806-1077903
