run_id,method,model,task,timestamp,point_index,micro_batch,seq_len,world_size,tokens_per_step,mean_step_time_s,tokens_per_s,peak_mem_gb,run_dir
gpu-dense-llama3.1-8b-boolq-20260215-160246-2172527,dense,llama3.1-8b,boolq,20260215-160246-2172527,0,2,2048,2,8192,3.8601248361170293,2122.211158393645,25.122936725616455,results/runs/gpu-dense-llama3.1-8b-boolq-20260215-160246-2172527
gpu-dense-llama3.1-8b-boolq-20260215-160246-2172527,dense,llama3.1-8b,boolq,20260215-160246-2172527,1,1,2048,2,4096,1.9884646696969868,2059.8807021420052,20.986164569854736,results/runs/gpu-dense-llama3.1-8b-boolq-20260215-160246-2172527
gpu-dense-llama3.1-8b-boolq-20260226-163228-663710,dense,llama3.1-8b,boolq,20260226-163228-663710,0,4,2048,1,8192,9.673703765124083,846.8318028854715,34.177730560302734,results/runs/gpu-dense-llama3.1-8b-boolq-20260226-163228-663710
gpu-dense-llama3.1-8b-boolq-20260226-163228-663710,dense,llama3.1-8b,boolq,20260226-163228-663710,1,2,2048,1,4096,4.961493343859911,825.557894795727,25.591686248779297,results/runs/gpu-dense-llama3.1-8b-boolq-20260226-163228-663710
gpu-dense-llama3.1-8b-boolq-20260226-163228-663710,dense,llama3.1-8b,boolq,20260226-163228-663710,2,1,2048,1,2048,2.4755781507119536,827.2814976214804,21.454914093017578,results/runs/gpu-dense-llama3.1-8b-boolq-20260226-163228-663710
gpu-dense-llama3.1-8b-gsm8k-20260205-180151-845210,dense,llama3.1-8b,gsm8k,20260205-180151-845210,0,4,2048,1,8192,2.9927796256146393,2737.254667829936,33.91186189651489,results/runs/gpu-dense-llama3.1-8b-gsm8k-20260205-180151-845210
gpu-dense-llama3.1-8b-gsm8k-20260205-180151-845210,dense,llama3.1-8b,gsm8k,20260205-180151-845210,1,2,2048,1,4096,1.5209313526051118,2693.0867017661303,33.91186189651489,results/runs/gpu-dense-llama3.1-8b-gsm8k-20260205-180151-845210
gpu-dense-llama3.1-8b-gsm8k-20260205-180151-845210,dense,llama3.1-8b,gsm8k,20260205-180151-845210,2,1,2048,1,2048,0.8153068891959265,2511.9375625781627,33.91186189651489,results/runs/gpu-dense-llama3.1-8b-gsm8k-20260205-180151-845210
gpu-dense-llama3.1-8b-hellaswag-20260206-091806-1077903,dense,llama3.1-8b,hellaswag,20260206-091806-1077903,0,4,2048,1,8192,2.9966846516006624,2733.687709056837,33.91186189651489,results/runs/gpu-dense-llama3.1-8b-hellaswag-20260206-091806-1077903
gpu-dense-llama3.1-8b-hellaswag-20260206-091806-1077903,dense,llama3.1-8b,hellaswag,20260206-091806-1077903,1,2,2048,1,4096,1.5242552535957656,2687.21396258101,33.91186189651489,results/runs/gpu-dense-llama3.1-8b-hellaswag-20260206-091806-1077903
gpu-dense-llama3.1-8b-hellaswag-20260206-091806-1077903,dense,llama3.1-8b,hellaswag,20260206-091806-1077903,2,1,2048,1,2048,0.8168455243925564,2507.206000207917,33.91186189651489,results/runs/gpu-dense-llama3.1-8b-hellaswag-20260206-091806-1077903
gpu-dense-mistral-7b-boolq-20260216-072054-2043935,dense,mistral-7b,boolq,20260216-072054-2043935,0,8,2048,2,32768,14.566384862549603,2249.5629704421053,28.400539875030518,results/runs/gpu-dense-mistral-7b-boolq-20260216-072054-2043935
gpu-dense-mistral-7b-boolq-20260216-072054-2043935,dense,mistral-7b,boolq,20260216-072054-2043935,1,4,2048,2,16384,7.352380890399218,2228.393801169132,22.210110187530518,results/runs/gpu-dense-mistral-7b-boolq-20260216-072054-2043935
gpu-dense-mistral-7b-boolq-20260216-072054-2043935,dense,mistral-7b,boolq,20260216-072054-2043935,2,2,2048,2,8192,3.740070294030011,2190.333163811457,19.271145343780518,results/runs/gpu-dense-mistral-7b-boolq-20260216-072054-2043935
gpu-dense-mistral-7b-gsm8k-20260216-110404-3151546,dense,mistral-7b,gsm8k,20260216-110404-3151546,0,8,2048,2,32768,14.62811874821782,2240.0693188242135,28.400539875030518,results/runs/gpu-dense-mistral-7b-gsm8k-20260216-110404-3151546
gpu-dense-mistral-7b-gsm8k-20260216-110404-3151546,dense,mistral-7b,gsm8k,20260216-110404-3151546,1,4,2048,2,16384,7.421136852167547,2207.7479941923725,22.210110187530518,results/runs/gpu-dense-mistral-7b-gsm8k-20260216-110404-3151546
gpu-dense-mistral-7b-gsm8k-20260216-110404-3151546,dense,mistral-7b,gsm8k,20260216-110404-3151546,2,2,2048,2,8192,3.782719749584794,2165.6375682864655,19.271145343780518,results/runs/gpu-dense-mistral-7b-gsm8k-20260216-110404-3151546
gpu-dense-mistral-7b-hellaswag-20260216-085223-2567242,dense,mistral-7b,hellaswag,20260216-085223-2567242,0,8,2048,2,32768,14.563862210698426,2249.9526242378925,28.400539875030518,results/runs/gpu-dense-mistral-7b-hellaswag-20260216-085223-2567242
gpu-dense-mistral-7b-hellaswag-20260216-085223-2567242,dense,mistral-7b,hellaswag,20260216-085223-2567242,1,4,2048,2,16384,7.392019906640053,2216.444247570639,22.210110187530518,results/runs/gpu-dense-mistral-7b-hellaswag-20260216-085223-2567242
gpu-dense-mistral-7b-hellaswag-20260216-085223-2567242,dense,mistral-7b,hellaswag,20260216-085223-2567242,2,2,2048,2,8192,3.7495298113673927,2184.8072724117137,19.271145343780518,results/runs/gpu-dense-mistral-7b-hellaswag-20260216-085223-2567242
